bulk_species_node [MG] at P @ dist64,bulk_species_node [MG] at P @ dist648,bulk_species_node [MG] at Chlorine @ dist64,bulk_species_node [MG] at Chlorine @ dist648,bulk_species_node [MG] at P @ dist356,bulk_species_node [MG] at Chlorine @ dist356,bulk_species_node [MG] at P @ dist399,bulk_species_node [MG] at Chlorine @ dist399,bulk_species_node [MG] at P @ dist420,bulk_species_node [MG] at Chlorine @ dist420,bulk_species_node [MG] at P @ dist485,bulk_species_node [MG] at Chlorine @ dist485,bulk_species_node [MG] at P @ dist606,bulk_species_node [MG] at Chlorine @ dist606,bulk_species_node [MG] at P @ dist1028,bulk_species_node [MG] at Chlorine @ dist1028,bulk_species_node [MG] at P @ dist1332,bulk_species_node [MG] at Chlorine @ dist1332,bulk_species_node [MG] at P @ dist1363,bulk_species_node [MG] at Chlorine @ dist1363,bulk_species_node [MG] at P @ dist1459,bulk_species_node [MG] at Chlorine @ dist1459,bulk_species_node [MG] at P @ dist1464,bulk_species_node [MG] at Chlorine @ dist1464,bulk_species_node [MG] at P @ dist1915,bulk_species_node [MG] at Chlorine @ dist1915
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.982824e-05,0.0,0.0,0.0,1.8944378e-05,0.0,4.9996497e-06,0.0,2.2717122e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.882326e-05,0.0,0.0,0.0,3.0989784e-05,0.0,9.255102e-06,0.0,4.3025675e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9159043e-05,0.0,2.336991e-09,0.0,3.0701078e-05,0.0,9.354097e-06,0.0,4.523259e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0335813e-05,0.0,1.9759565e-08,0.0,2.8202157e-05,0.0,7.941198e-06,0.0,3.6797596e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7167533e-08,0.0,6.189732e-05,0.0,2.788345e-08,0.0,2.7139677e-05,0.0,7.136471e-06,0.0,3.1451732e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7555097e-07,0.0,6.471657e-05,0.0,5.1255526e-08,0.0,2.6436948e-05,0.0,7.1537443e-06,0.0,3.1980999e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0315794e-07,0.0,6.385641e-05,0.0,4.9819263e-08,0.0,2.5723915e-05,0.0,6.689962e-06,0.0,2.9297726e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,4.1731287e-06,0.0,1.2902328e-10,0.0,0.0,0.0,7.386871e-08,0.0,4.1616357e-07,0.0,6.334759e-05,0.0,3.9834283e-08,0.0,2.5450017e-05,0.0,6.589237e-06,0.0,2.8581876e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,4.7131275e-06,0.0,3.111798e-10,0.0,0.0,0.0,1.1724713e-07,0.0,3.788791e-07,0.0,6.240253e-05,0.0,3.0725936e-08,0.0,2.4911988e-05,0.0,6.5261397e-06,0.0,2.6991793e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,4.5612e-06,0.0,3.977821e-10,0.0,0.0,0.0,1.4388904e-07,0.0,3.6836792e-07,0.0,6.0202354e-05,0.0,2.9906495e-08,0.0,2.7184458e-05,0.0,7.464197e-06,0.0,3.1897364e-06,0.0,5.4347752e-11
0.0,0.0,0.0,0.0,0.0,4.2434344e-06,0.0,2.1724532e-10,0.0,0.0,0.0,1.3763339e-07,0.0,3.1273703e-07,0.0,6.1037856e-05,0.0,2.8196766e-08,0.0,2.5388405e-05,0.0,6.4675364e-06,0.0,2.6539783e-06,0.0,5.2622066e-11
